BindingDB	Canonical_Smiles	IC50	PubChem
50264990	s1cc(nc1N)-c1ccc(cc1)-c1cc(NC(=O)c2ccc(cc2)C[NH+]2CC[NH+](CC2)C)ccc1C	20000	44580358
50321461	BrCC(=O)N(S(=O)(=O)c1cc(Cl)sc1Cl)c1ccccc1	20000	49798556
50312944	s1c(cnc1NC[C@@H]([NH3+])Cc1ccc(cc1)C(F)(F)F)-c1cc2c(nncc2)cc1	2000	46880370
50312057	FC(F)(F)c1cc(ccc1)C(=O)Nc1cc(ccc1)C=1n2ncc(c2N=CC=1)-c1ccc(cc1)C[NH+](C)C	2000	24884503
50312929	s1c(cnc1NC[C@@H]([NH3+])Cc1ccc(cc1)C(F)(F)F)-c1cc2n(nc(N)c2cc1)C	2000	23654341
50312930	s1c(cnc1NC[C@@H]([NH3+])Cc1ccc(cc1)C(F)(F)F)-c1cc2c(onc2N)cc1	2000	23654258
50086652	s1c2c(nc1C)C(=O)C(Nc1ccc(OC)cc1)=CC2=O	200	11722322
50086653	s1c2c(nc1C)C(=O)C(Nc1ccc(OCC)cc1)=CC2=O	200	481748
50086656	s1c2c(nc1C)C(=O)C(Nc1ccc(F)cc1)=CC2=O	200	481745
50086658	s1c2c(nc1C)C(=O)C(Nc1ccccc1)=CC2=O	200	481744
50086651	Brc1ccc(NC2=CC(=O)c3sc(nc3C2=O)C)cc1	200	44361566
50086654	s1c2c(nc1C)C(=O)C(Nc1ccc(O)cc1)=CC2=O	200	9994136
50086657	Clc1ccc(NC2=CC(=O)c3sc(nc3C2=O)C)cc1	200	481746
50086655	s1c2c(nc1C)C(=O)C(Nc1ccc(cc1)C)=CC2=O	200	481747
50086650	Ic1ccc(NC2=CC(=O)c3sc(nc3C2=O)C)cc1	200	44361567
50300026	Clc1cccc(Nc2ncnc3c2cc(NC(=O)[C@H]2N(CCC2)C(=O)C=C)c(OCCOC)c3)c1F	10000	24883287
50300027	Clc1c(F)c(Nc2ncnc3c2cc(NC(=O)[C@H]2N(CCC2)C(=O)C=C)c(OCCOC)c3)ccc1F	10000	24883334
50418988	s1c2c(cc1-c1ccncc1)C(=O)N(C=C2c1ccc(N2CCOCC2)cc1)C	15848.93	56680583
50418992	Clc1nc(ccc1)C=1c2sc(cc2C(=O)NC=1)-c1ccncc1	15848.93	56683910
50418995	s1c2c(cc1-c1ccncc1)C(=O)NC=C2c1ccccc1C(=O)N(C)C	15848.93	56663572
50418997	s1c2c(cc1-c1ccncc1)c(OC)ncc2-c1ccc(N2CCOCC2)cc1	15848.93	56680584
50306870	O1c2c3c4c(cc2OC1)C(=O)Nc4cc1c3ccc(OC)c1OC	15000	14887322
50306871	O1c2c3c4c(cc5NC(=O)c(c35)cc2OC1)c(OC)cc(OC)c4	15000	5319404
148194	O=C(N(C)C)c1n(c2nc(ncc2c1)Nc1ncccc1)C1CCCC1	15000	58315408
148264	O=C(N(C)C)c1n(c2nc(ncc2c1)Nc1ncc(N2CC[NH2+]CC2)cc1)C1CCCC1	15000	44631912
148268	O=C(N(C)C)c1n(c2nc(ncc2c1)Nc1ncc(N2CC[NH+](CC2)CC)cc1)C1CCCC1	15000	44819128
148276	FCC[NH+]1CCN(CC1)c1ccc(nc1)Nc1nc2n(c(cc2cn1)C(=O)N(C)C)C1CCCC1	15000	44818220
148218	OCC[NH+]1CCN(CC1)c1ccc(nc1)Nc1nc2n(c(cc2cn1)C(=O)N(C)C)C1CCCC1	15000	44818584
